query scale, time
10 15, 569.103
10 25, 461.475
11 11, 483.365
11 16, 642.117
12 12, 599.942
12 18, 664.562
4 4, 166.114
4 6, 188.009
5 10, 178.11
5 11, 265.402
6 6, 254.385
6 9, 196.392
7 10, 335.26
7 7, 512.868
8 12, 357.974
8 8, 650.503
9 13, 475.392
9 9, 786.298
