query scale,time
10 10,24.661
10 15,38.754
11 11,54.054
11 16,39.368
12 12,67.513
12 18,73.189
4 4,10.552
4 6,13.487
5 5,24.328
5 7,13.418
6 6,19.454
6 9,13.345
7 10,26.311
7 7,17.237
8 12,26.307
8 8,22.525
9 13,23.437
9 9,20.617
