query scale, time
10 10,2.969
10 15,2.596
11 11,3.433
11 16,4.64
12 12,3.039
12 18,5.318
4 4,1.012
4 6,1.202
5 5,1.322
5 7,2.148
6 6,2.56
6 9,2.124
7 10,1.975
7 7,2.748
8 12,2.748
8 8,2.478
9 13,3.673
9 9,3.189
