query scale, time
10 10, 4.402
10 15, 4.134
11 11, 8.27
11 16, 6.206
12 12, 7.238
12 18, 2.543
4 4, 1.185
4 6, 1.043
5 5, 1.618
5 7, 1.705
6 6, 8.075
6 9, 4.481
7 10, 2.349
7 7, 2.882
8 12, 7.911
8 8, 5.01
9 13, 10.681
9 9, 11.145
