query scale, time
10 20, 169.29
10 24, 224.575 
11 11, 265.187
11 16, 213.867 
12 12, 241.158
12 18, 270.012
4 4, 49.05
4 6, 37.941
5 5, 69.167
5 7, 63.806
6 6, 167.071
6 9, 110.164
7 10, 105.626
7 7, 165.679
8 12, 134.432
8 16, 153.476
9 13, 141.948
9 15, 137.628 
9 17, 117.502
