query scale, time
10 10, 5.365
10 15, 4.754
11 11, 6.45
11 16, 5.788
12 12, 12.867
12 18, 5.043
4 4,1.174
4 6,0.972
5 5,1.624
5 7,1.667
6 6, 2.001
6 9, 4.241
7 10, 3.069
7 7, 3.158
8 12, 3.78
8 8, 4.825
9 13, 9.481
9 9, 10.658
