query scale,time
10 10, 35.783
10 15, 8.303
11 11, 41.436
11 16, 8.743
12 12, 6.06
12 18, 8.122
4 4,2.256
4 6,1.446
5 5,2.678
5 7,2.338
6 6,3.544
6 9,4.917
7 10,6.161
7 7,7.696
8 12, 9.59
8 8, 44.486
9 13, 5.104
9 9, 15.536
