query scale,time,
10 10,23.729, 
10 15,33.856, 
11 11,51.588, 
11 16,36.974, 
12 12,65.989, 
12 18,72.481, 
4 4,10.405, 
4 6,14.042, 
5 5,23.193, 
5 7,13.802, 
6 6,19.341, 
6 9,13.504, 
7 10,25.59, 
7 7,16.883, 
8 12,26.337, 
8 8,22.534, 
9 13,24.196, 
9 9,20.458, 
