query scale, time,
10 20,180.886,
10 24,222.172,
11 11,262.557,
11 16,220.936,
12 12,262.822,
12 18,283.642,
4 4,48.847,
4 6,37.755,
5 5,65.433,
5 7,63.803,
6 6,174.146,
6 9,107.259,
7 10,110.384,
7 7,175.348,
8 12,143.108,
8 16,158.305,
9 13,160.533,
9 15,134.532,
9 17,248.971,
