query scale,time
10 10,3.283
10 15,6.573
11 11,3.312
11 16,8.16
12 12,4.502
12 18,7.625
4 4,1.411
4 6,1.63
5 5,2.051
5 7,1.99
6 6,2.047
6 9,2.037
7 10,3.362
7 7,3.71
8 12,5.784
8 8,2.448
9 13,4.777
9 9,5.809
