query scale, time
10 15, 567.18
10 25, 470.42
11 11, 469.073
11 16, 652.173
12 12, 605.653
12 18, 675.736
4 4, 163.167
4 6, 196.67
5 10, 186.425
5 11, 255.637
6 6, 248.461
6 9,  206.446
7 10, 384.904
7 7, 547.31
8 12, 469.196
8 8, 633.809
9 13, 487.398
9 9, 807.446
