query scale,time
10 10, 42.279
10 15, 6.268
11 11, 57.813
11 16, 9.407
12 12, 7.192
12 18, 9.23
4 4, 1.995
4 6, 1.431
5 5, 2.537
5 7,2.332
6 6, 3.687
6 9, 3.469
7 10, 6.299
7 7, 8.409
8 12, 16.895
8 8, 40.019
9 13, 4.685
9 9, 13.847
