query scale, time
10 10,24.855
10 15,37.577
11 11,55.011
11 16,40.396
12 12,69.274
12 18,72.254
4 4,10.385
4 6,13.248
5 5,24.333
5 7,13.583
6 6,19.604
6 9,13.987
7 10,26.305
7 7,17.235
8 12,25.905
8 8,22.218
9 13,22.925
9 9,21.02
