query scale, time
10 10, 23.556, 
10 15, 32.873, 
11 11, 51.73, 
11 16, 38.277, 
12 12, 68.823, 
12 18, 71.138, 
4 4, 10.387, 
4 6, 13.49, 
5 5, 23.816, 
5 7, 13.602, 
6 6, 19.193, 
6 9, 13.642, 
7 10, 25.317, 
7 7, 16.681, 
8 12, 25.393, 
8 8, 22.681, 
9 13, 23.166, 
9 9, 20.495, 
